outcome,start_period,pre_mean,event_mean,post_mean,event_minus_pre,post_minus_event,permutation_id,permutation_type,fake_high_col
perm_gap,2020-09,0.16434062892884013,0.04587996279423597,0.0025090776861587116,-0.11846066613460415,-0.04337088510807726,76,random_high_and_fake_start,log_spi_financial
perm_gap,2025-06,-0.08126843634263044,-0.08418341235360878,-0.02572266639014605,-0.002914976010978343,0.058460745963462735,77,random_high_and_fake_start,log_spi_real_estate
perm_gap,2018-02,0.30556370451433273,0.3861832832166847,0.21717005756804456,0.08061957870235198,-0.16901322564864016,78,random_high_and_fake_start,log_spi_afs
perm_gap,2025-03,0.18556901916097038,0.20889554533045995,0.1530082324460711,0.023326526169489575,-0.05588731288438886,79,random_high_and_fake_start,log_spi_professional
perm_gap,2018-06,-0.029656013717600516,-0.040253805554566625,0.06094260626822212,-0.01059779183696611,0.10119641182278874,80,random_high_and_fake_start,log_spi_real_estate
perm_gap,2020-07,0.16393593777545976,0.1361279171536897,-0.003503880683309942,-0.02780802062177007,-0.13963179783699964,81,random_high_and_fake_start,log_spi_financial
perm_gap,2024-09,0.09278186515345332,0.11599057491691471,0.17200542890240791,0.023208709763461385,0.056014853985493204,82,random_high_and_fake_start,log_spi_admin_support
perm_gap,2018-09,-0.0877937932497197,-0.04676531540172224,0.017783778964022428,0.04102847784799746,0.06454909436574467,83,random_high_and_fake_start,log_spi_professional
perm_gap,2020-08,0.16150951232545432,0.09399462700897725,0.013810309282471364,-0.06751488531647708,-0.08018431772650589,84,random_high_and_fake_start,log_spi_financial
perm_gap,2018-06,0.09067085704401052,0.12804759880428632,-0.014177290866500178,0.03737674176027579,-0.1422248896707865,85,random_high_and_fake_start,log_spi_financial
perm_gap,2023-09,0.07214462111965592,0.13289795825452977,0.1370669642061726,0.06075333713487385,0.0041690059516428235,86,random_high_and_fake_start,log_spi_admin_support
perm_gap,2024-02,0.015814096716751713,-0.05717437980857228,-0.09589609016874186,-0.072988476525324,-0.038721710360169574,87,random_high_and_fake_start,log_spi_real_estate
perm_gap,2019-03,-0.0496185483176926,0.05765421939668158,0.09697204048725776,0.10727276771437419,0.039317821090576174,88,random_high_and_fake_start,log_spi_financial
perm_gap,2020-01,0.27635072459962756,0.0900140073131898,-0.771429150595223,-0.18633671728643775,-0.8614431579084127,89,random_high_and_fake_start,log_spi_afs
