term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,lag_length,spec,spec_type,interpretation_note,naive_std_error,standard_error_note,n_lags
month_12,0.0707370755784722,0.03192883159157638,2.215460824978462,0.026728450393887045,0.008157715590537795,0.1333164355664066,120.0,0.9329312324615924,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,0.2170473171747599,,,,,,,,gap_synth_main,3,C_tourism_month_fe,main_policy_only,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.07057783039281228,naive_std_error ignores covariance across lag coefficients,4.0
const,0.1007720928230574,0.033310751366903944,3.0252122419303933,0.0024845870629113284,0.03548421984595729,0.1660599658001575,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,0.004611183834728201,0.03542851657949087,0.1301545839319041,0.8964441256207306,-0.06482743268675409,0.0740498003562105,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,0.04649103394715976,0.02468061421510014,1.8837065213196975,0.0596046838432873,-0.001882081030763809,0.09486414892508332,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,0.06966922004087162,0.034309480283917226,2.0306113489433844,0.042294435556786025,0.0024238743561067894,0.13691456572563643,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,0.07809879939396848,0.034449865177739646,2.267027722489704,0.023388532253171213,0.010578304373338232,0.14561929441459873,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_food_cpi_yoy,0.021400286405261284,0.018152250710519423,1.1789329459216642,0.23842487753028896,-0.014177471225698391,0.05697804403622096,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_core_cpi_yoy,-0.02876499452764303,0.01863030610269562,-1.5439893670604274,0.12259090853803108,-0.06527972350988322,0.00774973445459716,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_foreign_tourists_thousand,0.13064244719519896,0.06021641399895844,2.169548774482962,0.030041045600037997,0.01262044447908689,0.24866444991131104,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_accommodation_occupancy_rate_total,0.33473306801366676,0.03168682839915927,10.563792115671257,4.385782865823031e-26,0.2726280255670136,0.3968381104603199,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
z_nonresident_expenditure_index,-0.12636911518649993,0.03963024440867723,-3.188703907130858,0.0014291217827462784,-0.20404296692602716,-0.0486952634469727,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_2,-0.020677928227670582,0.025487689187951613,-0.8112908186845486,0.41719868137311467,-0.07063288108520668,0.02927702462986552,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_3,0.030180410707290627,0.035935270416435204,0.8398548378110282,0.4009897821255419,-0.04025142508363005,0.1006122464982113,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_4,-0.07198276590356054,0.045138233359746885,-1.5947182808388978,0.1107752481833657,-0.1604520776144288,0.016486545807307754,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_5,-0.1046004628358623,0.03790906613395252,-2.759246626288663,0.005793479391122022,-0.17890086714595632,-0.030300058525768295,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_6,-0.0857222168707823,0.04274552012502658,-2.005408206989948,0.04491942505011256,-0.16950189681626648,-0.0019425369252981245,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_7,-0.03181950707941275,0.04116535619556142,-0.7729680979377419,0.43954126109256697,-0.11250212263347592,0.04886310847465042,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_8,-0.026971267315998,0.04299411859746546,-0.6273245782409871,0.530446495534092,-0.11123819131407403,0.05729565668207803,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_9,-0.04494468654089948,0.04846948134742934,-0.9272780580987835,0.3537821836431483,-0.1399431243311969,0.05005375124939795,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_10,0.007005065222906365,0.04660817860163373,0.1502969099646563,0.8805303707908141,-0.08434528622130616,0.09835541666711889,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_11,-0.008399819638637798,0.04132107584766596,-0.20328172648758047,0.8389148374937463,-0.08938764010251096,0.07258800082523537,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
month_12,0.09280119823836618,0.03169247504459332,2.9281776859582287,0.0034095513392456834,0.030685088570028822,0.15491730790670352,111.0,0.9485720423520482,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Dynamic relative response; not a pure causal effect or ATT.,,,
cumulative_policy_intensity_m_lag,0.19887023721672806,,,,,,,,gap_synth_main,3,D_price_tourism_month_fe,main_policy_only,Cumulative dynamic relative response; naive SE ignores lag covariance.,0.06502496561456074,naive_std_error ignores covariance across lag coefficients,4.0
const,0.3626850636394533,0.06172306919164513,5.8760050073554435,4.202856167472258e-09,0.24171007100855507,0.4836600562703515,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag0,-0.3870328756144634,0.11746205775578383,-3.2949607984830824,0.0009843541069481218,-0.6172542783657635,-0.15681147286316338,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag1,-0.06834351577321247,0.08431697988083298,-0.8105545984901719,0.41762149863093756,-0.23360175962483343,0.0969147280784085,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag2,-0.029978428997890393,0.08337689471993578,-0.35955319634520305,0.7191812896766665,-0.19339413979175232,0.13343728179597156,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
policy_intensity_m_lag3,-0.20510496240316894,0.10264268478462199,-1.9982423767806388,0.04569038932439859,-0.40628092785752545,-0.0039289969488124354,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
delivery_intensity_m_lag0,0.6354927577305862,0.15903589304130422,3.9959077512492,6.444682758661542e-05,0.3237881351204657,0.9471973803407068,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
delivery_intensity_m_lag1,0.1649845333588988,0.14394653557420337,1.146151470063345,0.25173248400300463,-0.11714549206585345,0.44711455878365103,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
delivery_intensity_m_lag2,0.23878975230573918,0.12104081553310948,1.9728035642689525,0.04851794693840395,0.0015541132014882386,0.4760253914099901,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
delivery_intensity_m_lag3,0.4008782719482068,0.11486795495848139,3.4899051880317957,0.0004831919428538615,0.17574121725181416,0.6260153266445995,120.0,0.5015181069941947,gap_synth_main,3,S1_delivery_policy_month_fe,sensitivity_delivery,Dynamic relative response; not a pure causal effect or ATT.,,,
